Payment: CARD | Amount: 3410.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: CARD | Amount: 12.3 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: TRANSFER | Amount: 285500.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: PAYPAL | Amount: 5517.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: CASH | Amount: 500.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: BLIK | Amount: 350.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: BITCOIN | Amount: 0.015 BTC | Date: Mon Dec 29 18:14:02 CET 2025
Payment: INSTALLMENTS | Amount: 6000.0 PLN | Date: Mon Dec 29 18:14:02 CET 2025
Payment: CARD | Amount: 3410.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: CARD | Amount: 12.3 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: TRANSFER | Amount: 285500.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: PAYPAL | Amount: 5517.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: CASH | Amount: 500.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: BLIK | Amount: 350.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: BITCOIN | Amount: 0.015 BTC | Date: Mon Dec 29 18:15:33 CET 2025
Payment: INSTALLMENTS | Amount: 6000.0 PLN | Date: Mon Dec 29 18:15:33 CET 2025
Payment: CARD | Amount: 3410.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: CARD | Amount: 12.3 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: TRANSFER | Amount: 285500.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: PAYPAL | Amount: 5517.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: CASH | Amount: 500.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: BLIK | Amount: 350.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: BITCOIN | Amount: 0.015 BTC | Date: Tue Jan 06 12:17:40 CET 2026
Payment: INSTALLMENTS | Amount: 6000.0 PLN | Date: Tue Jan 06 12:17:40 CET 2026
Payment: CARD | Amount: 3410.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: CARD | Amount: 12.3 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: TRANSFER | Amount: 285500.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: PAYPAL | Amount: 5517.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: CASH | Amount: 500.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: BLIK | Amount: 350.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
Payment: BITCOIN | Amount: 0.015 BTC | Date: Tue Jan 06 12:28:48 CET 2026
Payment: INSTALLMENTS | Amount: 6000.0 PLN | Date: Tue Jan 06 12:28:48 CET 2026
